road,start node,end node,AADT
2719,7436481988,7436471674,0.00
5271,183871640,183983543,0.75
10281,183829853,8428456464,0.63
12369,6840047316,6953719150,0.01
10117,183868377,8084247206,0.02
5922,183896397,183776931,49.02
10076,2722508913,2722508963,0.00
4353,7244261455,7244261452,0.01
12457,183906714,183902491,0.03
12145,6953719150,6953719151,0.00
10939,8110367973,8429128422,1.86
264,183937327,183951660,11.70
8328,2937774109,2937774107,0.00
9178,8111669220,183941636,2.01
847,7489133800,7489133803,13.64
8911,7189320825,7189320829,0.17
1405,6745396456,183847370,0.00
6081,7079509460,6788254714,16.26
4866,183903949,183794319,499.09
6703,183978611,6825017390,1.00
657,183920221,183947695,185.70
10818,183878222,183878227,0.02
1672,183972631,183972474,19.16
650,183777297,7425215986,1.16
3005,183777000,183777002,1.69
210,6753516900,6753516919,0.06
